HTID	WWE Novel ID	Title	Author	Hand / Auto?
mdp.39015011054155	1	The Demolished Man	Alfred Bester	Both
mdp.39015012120492	1	The Demolished Man	Alfred Bester	Both
mdp.39015023453395	1	The Demolished Man	Alfred Bester	Both
uc1.32106002161526	1	The Demolished Man	Alfred Bester	Both
uc1.32106014483108	4	The Big Time	Fritz Leiber	Both
mdp.39015013534014	5	A Case of Conscience	James Blish	Both
mdp.39015038900125	5	A Case of Conscience	James Blish	Both
uc1.32106012870439	5	A Case of Conscience	James Blish	Both
mdp.39015038922574	6	Starship Troopers	Robert A. Heinlein	Both
pst.000066152552	6	Starship Troopers	Robert A. Heinlein	Both
uc1.32106011196133	6	Starship Troopers	Robert A. Heinlein	Both
mdp.39015000611528	7	A Canticle for Leibowitz	Walter M. Miller, Jr.	Auto
pst.000013669980	7	A Canticle for Leibowitz	Walter M. Miller, Jr.	Both
pst.000028922933	7	A Canticle for Leibowitz	Walter M. Miller, Jr.	Auto
mdp.39015003922005	8	Stranger in a Strange Land	Robert A. Heinlein	Both
mdp.39015008817374	8	Stranger in a Strange Land	Robert A. Heinlein	Both
mdp.39015020677434	9	The Man in the High Castle	Philip K. Dick	Both
mdp.39015079288901	9	The Man in the High Castle	Philip K. Dick	Both
mdp.39015020680917	10	Way Station	Clifford D. Simak	Both
uc1.32106012732845	10	Way Station	Clifford D. Simak	Both
mdp.39015003899278	11	The Wanderer	Fritz Leiber	Both
mdp.49015000995796	11	The Wanderer	Fritz Leiber	Both
pst.000003801734	11	The Wanderer	Fritz Leiber	Both
mdp.39015000363344	12	This Immortal	Roger Zelazny	Both
mdp.39015012178250	12	This Immortal	Roger Zelazny	Both
mdp.49015003071447	13	Dune	Frank Herbert	Both
pst.000011824909	13	Dune	Frank Herbert	Both
pst.000027233412	13	Dune	Frank Herbert	Both
mdp.39015010450529	14	The Moon is a Harsh Mistress	Robert A. Heinlein	Both
mdp.39015040086160	14	The Moon is a Harsh Mistress	Robert A. Heinlein	Both
mdp.39015046792886	14	The Moon is a Harsh Mistress	Robert A. Heinlein	Auto
mdp.39076000545603	14	The Moon is a Harsh Mistress	Robert A. Heinlein	Both
uc1.32106005369621	14	The Moon is a Harsh Mistress	Robert A. Heinlein	Both
mdp.39015008045489	15	Lord of Light	Roger Zelazny	Both
mdp.39015008978879	15	Lord of Light	Roger Zelazny	Both
mdp.39015046407733	15	Lord of Light	Roger Zelazny	Both
mdp.49015000757501	15	Lord of Light	Roger Zelazny	Both
mdp.39015013285799	16	Stand on Zanzibar	John Brunner	Both
uc1.32106012964034	16	Stand on Zanzibar	John Brunner	Both
uc1.b3472504	16	Stand on Zanzibar	John Brunner	Both
mdp.39015052467530	17	The Left Hand of Darkness	Ursula K. Le Guin	Both
uc1.32106008754829	17	The Left Hand of Darkness	Ursula K. Le Guin	Both
uc1.32106013536211	17	The Left Hand of Darkness	Ursula K. Le Guin	Both
mdp.49015000722596	18	Ringworld	Larry Niven	Both
pst.000029273768	18	Ringworld	Larry Niven	Both
uc1.32106012582976	18	Ringworld	Larry Niven	Both
uc1.32106013677395	18	Ringworld	Larry Niven	Both
mdp.39015020695519	19	To Your Scattered Bodies Go	Philip José Farmer	Both
mdp.49015000679887	19	To Your Scattered Bodies Go	Philip José Farmer	Both
uva.x000100863	19	To Your Scattered Bodies Go	Philip José Farmer	Hand
mdp.39015020729649	20	The Gods Themselves	Isaac Asimov	Both
uc1.32106012964117	21	Rendezvous with Rama	Arthur C. Clarke	Both
mdp.39015000244775	22	The Dispossessed: An Ambiguous Utopia	Ursula K. Le Guin	Both
mdp.39015010418294	22	The Dispossessed: An Ambiguous Utopia	Ursula K. Le Guin	Both
mdp.39015024079264	22	The Dispossessed: An Ambiguous Utopia	Ursula K. Le Guin	Both
uc1.32106017346385	22	The Dispossessed: An Ambiguous Utopia	Ursula K. Le Guin	Hand
inu.39000002565559	23	The Forever War	Joe Haldeman	Both
mdp.39015003665547	23	The Forever War	Joe Haldeman	Both
mdp.39015002662453	24	Where Late the Sweet Birds Sang	Kate Wilhelm	Both
mdp.49015000614561	24	Where Late the Sweet Birds Sang	Kate Wilhelm	Both
uc1.b3860548	24	Where Late the Sweet Birds Sang	Kate Wilhelm	Both
inu.39000002610124	25	Gateway	Frederik Pohl	Both
mdp.49015000610437	25	Gateway	Frederik Pohl	Both
uc1.32106017949246	25	Gateway	Frederik Pohl	Both
uc1.b4951323	26	Dreamsnake	Vonda N. McIntyre	Both
mdp.39015008380167	27	The Fountains of Paradise	Arthur C. Clarke	Both
mdp.39015054075612	27	The Fountains of Paradise	Arthur C. Clarke	Both
mdp.39015005184638	28	The Snow Queen	Joan D. Vinge	Both
mdp.39015007015038	29	Downbelow Station	C. J. Cherryh	Both
mdp.39015007068235	30	Foundation's Edge	Isaac Asimov	Both
inu.39000013061622	31	Startide Rising	David Brin	Both
mdp.39015025286538	31	Startide Rising	David Brin	Both
pst.000022355218	32	Neuromancer	William Gibson	Both
mdp.39015055883048	33	Ender's Game	Orson Scott Card	Both
mdp.39015056469367	38	The Vor Game	Lois McMaster Bujold	Both
mdp.39015056223574	39	Barrayar	Lois McMaster Bujold	Both
mdp.39015056268603	42	Mirror Dance	Lois McMaster Bujold	Both
mdp.39015057976790	43	The Diamond Age	Neal Stephenson	Both
mdp.39015053774355	45	Forever Peace	Joe Haldeman	Both
uc1.32106018321726	45	Forever Peace	Joe Haldeman	Both
mdp.39015032764527	52	Doomsday Book	Connie Willis	Both
mdp.39015027254021	53	Farmer in the Sky	Robert A. Heinlein	Both
pst.000061768444	53	Farmer in the Sky	Robert A. Heinlein	Both
uc1.32106002114335	53	Farmer in the Sky	Robert A. Heinlein	Both
uiug.30112112425621	53	Farmer in the Sky	Robert A. Heinlein	Hand
mdp.39015059964455	54	Blind Lake	Robert Charles Wilson	Both
mdp.39015054285773	61	The Years of Rice and Salt	Kim Stanley Robinson	Both
mdp.39015053767052	65	Passage	Connie Willis	Both
mdp.39015047519965	74	Children of God	Mary Doria Russell	Both
